team,fifa_points
Germany,1558.49
Brazil,1430.57
Belgium,1298.32
Portugal,1273.69
Argentina,1241.45
Switzerland,1198.72
France,1198.13
Poland,1182.61
Chile,1134.66
Spain,1125.5
Peru,1125.39
Denmark,1051.44
England,1050.84
Uruguay,1018.41
Mexico,989.44
Colombia,985.97
Netherlands,980.98
Wales,953.46
Italy,951.25
Croatia,945.18
Tunisia,909.91
Iceland,908.01
Costa Rica,884.04
Sweden,879.9
United States,872.68
Austria,844.7
Senegal,837.98
Slovakia,804.36
Northern Ireland,803.22
Romania,781.66
Republic of Ireland,777.11
Paraguay,773.18
Venezuela,754.55
Serbia,750.75
Ukraine,732.77
Australia,718.33
Iran,708.35
Turkey,706.39
DR Congo,705.87
Bosnia and Herzegovina,692.93
Morocco,685.86
Scotland,659.61
Montenegro,651.58
Greece,649.82
Egypt,649.43
Czech Republic,640.7
Ghana,623.69
Nigeria,617.79
Bulgaria,614.39
Cameroon,613.88
Hungary,611.82
Burkina Faso,604.15
Norway,595.99
Jamaica,588.13
Panama,571.17
Slovenia,558.05
South Korea,543.67
Albania,537.79
Bolivia,536.08
Ecuador,523.85
Japan,520.75
Honduras,503.3
Finland,486.43
Mali,483.7
Cape Verde,477.77
Algeria,473.83
Saudi Arabia,465.28
Ivory Coast,463.4
Guinea,462.98
Russia,456.53
North Macedonia,451.3
El Salvador,441.53
Syria,439.65
South Africa,427.68
China,423.09
Zambia,420.31
United Arab Emirates,417.66
Belarus,417.42
Lebanon,411.49
Canada,410.93
Curaçao,408.27
Uganda,402.91
Republic of the Congo,393.04
Oman,391.06
Gabon,389.96
Luxembourg,389.95
Cyprus,383.53
Benin,378.77
Iraq,376.7
Faroe Islands,375.91
Trinidad and Tobago,369.54
Kyrgyzstan,362.71
Israel,361.87
Estonia,359.41
Uzbekistan,353.91
Georgia,351.51
India,349.92
Qatar,347.59
Palestine,347.07
Armenia,338.21
Libya,335.87
Vietnam,334.37
Niger,323.36
Haiti,321.93
Azerbaijan,321.48
Madagascar,307.7
Mauritania,304.17
North Korea,303.11
Central African Republic,303.08
Jordan,296.18
Sierra Leone,292.16
Kenya,290.83
Bahrain,289.25
Mozambique,281.55
Philippines,280.02
Namibia,277.06
Kazakhstan,272.85
Zimbabwe,264.59
Tajikistan,263.65
New Zealand,255.78
Guinea-Bissau,255.11
Thailand,248.21
Malawi,247.19
Taiwan,246.74
Togo,241.13
Lithuania,239.38
Antigua and Barbuda,239.34
Sudan,232.17
Latvia,230.04
Turkmenistan,229.36
Andorra,228.81
Nicaragua,227.69
Yemen,227.43
Swaziland,222.13
St Kitts and Nevis,218.06
Rwanda,216.13
Angola,209.08
Myanmar,205.52
Botswana,204.52
Tanzania,200.32
Kosovo,197.2
Hong Kong,195.06
Equatorial Guinea,189.97
Solomon Islands,189.91
Afghanistan,187.6
Guatemala,179.79
Lesotho,175.48
Burundi,174.16
Comoros,171.66
Maldives,171.42
Ethiopia,165.84
Dominican Republic,162.4
Suriname,154.19
New Caledonia,149.6
Mauritius,140.37
South Sudan,131.82
Tahiti,129.62
Liberia,129.08
Kuwait,128.48
Barbados,127.07
Nepal,118.47
Vanuatu,116.83
Belize,115.31
Indonesia,111.49
Fiji,103.65
Cambodia,103.2
Papua New Guinea,102.67
Grenada,101.53
Singapore,98.85
St Lucia,94.94
Malaysia,93.04
Gambia,91.94
St Vincent and the Grenadines,88.6
Puerto Rico,88.59
Chad,87.98
Moldova,87.81
Dominica,86.07
Bermuda,81.64
Laos,81.58
Liechtenstein,79.76
Cuba,74.88
Guyana,73.41
Bhutan,68.0
Malta,65.11
Macau,60.11
Mongolia,51.0
São Tomé e Príncipe,50.54
Seychelles,48.47
Aruba,48.45
Guam,44.96
Timor-Leste,44.86
American Samoa,38.25
Cook Islands,38.25
Bangladesh,34.76
Gibraltar,34.16
Brunei Darussalam,34.0
Djibouti,31.88
Samoa,31.88
US Virgin Islands,17.6
Sri Lanka,16.76
Pakistan,10.17
Cayman Islands,8.5
San Marino,7.92
British Virgin Islands,4.25
Montserrat,4.25
Turks and Caicos Islands,0.0
Anguilla,0.0
Bahamas,0.0
Eritrea,0.0
Somalia,0.0
Tonga,0.0
